id;citation;reponse;coeur;chapitre;page
101;-"Pourquoi ce type a un moulin à vent sur sa casquette?";Luffy;0;80;6
102;-"Vous venez faire la morale à une petite voleuse comme moi!!";Nami;0;80;11
103;-"Comment la marine peut-elle accepter de se voir rabaisser au de vulgaire homme de main des pirates?";Nojiko;0;80;15
104;-"Le moment est venu de prendre les armes et de se battre";Genzo;0;81;5
105;-"Ces lâches ont fait pleurer Nami. Voilà une bonne raison de nous battre au péril de nos vies";Johnny et Yosaku;0;82;14
106;-"Vous servirez de déjeuner à mon animal de companie";Octy;0;82;15
107;-"Il y a des jours où je me demande pourquoi j'ai accepté de suivre un capitaine aussi stupide";Sanji;0;83;7
108;-"Ce n'est plus vous qui voulez nous tuer mais nous qui sommes venus jusqu'ici pour vous faire la peau";Zoro;0;83;10
109;-"Je te rappelle que c'est moi ton adversaire!! Viens te battre si tu l'oses";Usopp;0;83;13
110;-"Cette fois je te pardonne, ce ne sont que des cheveux";Octy;0;84;5
111;-"Qui veux une crêpe au poulpe?";Zoro;0;84;14
112;-"C'est moi le meilleur après le plus puissant sabreur de l'île des hommes-poissons!!";Octy;0;84;17
113;-"Je ne laisserai personne me tuer, pas même la faucheuse";Zoro;0;84;18
114;-"Ce n'est pas le nombre de sabres qui compte mais le poids qu'ils ont dans les mains de celui qui les tient";Zoro;1;85;7
115;-"Regarde où t'a mené ton idéal chevaleresque à la noix";Kuroobi;0;86;13
116;-"Êtes-vous prêts à me suivre et à mourir avec moi?";Nami;0;88;14
117;-"Oh, la sardine! Attend un peu que je m'occupe de toi!!";Usopp;0;87;10
118;-"Dire qu'en restant tranquille, les blessures ne se seraient pas rouverte";Zoro;0;89;11
119;-"Je ne faisais que m'échauffer";Luffy;0;89;19
120;-"Pas besoin de donner des coups de dents pour briser de la roche.";Luffy;0;90;8
121;-"Tu as dit "utiliser"?";Luffy;0;92;19
122;-"Parfois ça fait du bien de passer la journée à se goinfrer sans se soucier du reste";Sanji;0;95;3
123;-"C'est pour eux qu'aujourd'hui nous devons rire de toutes nos forces";Genzo;0;95;5
124;-"Si jamais il devait lui arriver malheur, sache que je viendrais te tuer de mes propres mains";Genzo;0;95;6
125;-"Va pour "voyou", ça me plaît bien";Nojiko;0;95;7
126;-"Qui est la plus belle femme de l'océan ?";Alvida;1;2;5
